frame,mode,state,level,enemyCount,normalBulletCount,orbitBulletCount,queryCount,nearbyCandidateCount,bruteForceCandidateCount,candidateReductionPercent,spatialBuildMilliseconds,collisionMilliseconds,separationMilliseconds
40,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
41,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
42,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
43,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
44,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
45,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
46,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
47,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
48,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
49,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
50,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
51,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
52,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
53,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
54,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
55,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
56,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
57,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
58,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
59,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
60,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
61,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
62,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
63,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
64,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
65,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
66,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
67,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
68,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
69,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
70,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
71,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
72,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
73,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
74,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
75,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
76,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
77,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
78,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
79,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
80,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
81,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
82,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
83,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
84,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
85,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
86,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
87,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
88,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
89,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
90,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
91,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
92,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
93,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
94,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
95,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
96,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
97,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
98,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
99,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
100,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
101,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
102,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
103,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
104,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
105,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
106,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
107,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
108,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
109,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
110,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
111,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
112,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
113,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
114,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
115,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
116,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
117,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
118,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
119,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
120,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
121,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
122,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
123,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
124,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
125,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
126,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
127,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
128,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
129,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
130,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
131,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
132,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
133,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
134,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
135,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
136,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
137,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
138,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
139,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
140,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
141,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
142,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
143,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
144,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
145,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
146,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
147,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
148,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
149,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
150,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
151,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
152,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
153,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
154,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
155,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
156,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
157,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
158,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
159,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
160,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
161,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
162,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
163,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
164,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
165,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
166,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
167,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
168,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
169,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
170,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
171,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
172,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
173,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
174,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
175,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
176,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
177,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
178,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
179,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
180,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
181,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
182,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
183,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
184,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
185,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
186,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
187,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
188,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
189,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
190,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
191,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
192,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
193,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
194,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
195,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
196,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
197,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
198,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
199,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
200,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
201,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
202,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
203,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
204,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
205,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
206,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
207,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
208,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
209,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
210,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
211,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
212,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
213,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
214,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
215,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
216,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
217,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
218,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
219,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
220,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
221,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
222,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
223,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
224,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
225,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
226,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
227,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
228,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
229,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
230,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
231,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
232,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
233,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
234,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
235,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
236,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
237,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
238,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
239,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
240,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
241,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
242,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
243,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
244,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
245,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
246,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
247,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
248,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
249,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
250,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
251,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
252,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
253,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
254,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
255,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
256,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
257,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
258,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
259,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
260,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
261,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
262,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
263,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
264,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
265,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
266,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
267,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
268,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
269,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
270,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
271,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
272,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
273,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
274,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
275,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
276,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
277,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
278,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
279,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
280,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
281,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
282,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
283,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
284,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
285,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
286,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
287,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
288,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
289,spatial_grid,scene_stress,0,25,0,0,0,0,0,0,0,0,0
290,spatial_grid,scene_stress,0,27,0,0,28,97,756,87.1693,0.0162,0.0033,0.0253
291,spatial_grid,scene_stress,0,27,0,0,28,97,756,87.1693,0.0109,0.001,0.0189
292,spatial_grid,scene_stress,0,27,0,0,28,98,756,87.037,0.0124,0.0012,0.0202
293,spatial_grid,scene_stress,0,27,0,0,28,98,756,87.037,0.0202,0.0009,0.0201
294,spatial_grid,scene_stress,0,27,0,0,28,98,756,87.037,0.0187,0.0009,0.0204
295,spatial_grid,scene_stress,0,27,0,0,28,101,756,86.6402,0.0131,0.001,0.0224
296,spatial_grid,scene_stress,0,27,0,0,28,100,756,86.7725,0.0139,0.001,0.0223
297,spatial_grid,scene_stress,0,27,0,0,28,100,756,86.7725,0.0126,0.0129,0.0226
298,spatial_grid,scene_stress,0,27,0,0,28,100,756,86.7725,0.0398,0.0009,0.0226
299,spatial_grid,scene_stress,0,27,0,0,28,102,756,86.5079,0.0128,0.001,0.0229
300,spatial_grid,scene_stress,0,27,0,0,28,102,756,86.5079,0.0122,0.0008,0.0227
301,spatial_grid,scene_stress,0,27,0,0,28,101,756,86.6402,0.0176,0.0014,0.0324
302,spatial_grid,scene_stress,0,27,0,0,28,101,756,86.6402,0.0113,0.0009,0.0223
303,spatial_grid,scene_stress,0,27,0,0,28,102,756,86.5079,0.0115,0.001,0.0228
304,spatial_grid,scene_stress,0,27,0,0,28,102,756,86.5079,0.0122,0.0009,0.0231
305,spatial_grid,scene_stress,0,27,0,0,28,102,756,86.5079,0.0116,0.0009,0.0242
306,spatial_grid,scene_stress,0,27,0,0,28,100,756,86.7725,0.011,0.001,0.0228
307,spatial_grid,scene_stress,0,27,0,0,28,100,756,86.7725,0.0126,0.0011,0.0228
308,spatial_grid,scene_stress,0,27,0,0,28,100,756,86.7725,0.0127,0.0016,0.0398
309,spatial_grid,scene_stress,0,27,0,0,28,100,756,86.7725,0.0117,0.001,0.0232
310,spatial_grid,scene_stress,0,27,0,0,28,100,756,86.7725,0.011,0.001,0.0228
311,spatial_grid,scene_stress,0,27,0,0,28,99,756,86.9048,0.0114,0.0009,0.023
312,spatial_grid,scene_stress,0,27,0,0,28,99,756,86.9048,0.0113,0.0009,0.0235
313,spatial_grid,scene_stress,0,27,0,0,28,98,756,87.037,0.0102,0.0009,0.0231
314,spatial_grid,scene_stress,0,27,0,0,28,98,756,87.037,0.0101,0.0008,0.0235
315,spatial_grid,scene_stress,0,27,0,0,28,95,756,87.4339,0.0113,0.001,0.023
316,spatial_grid,scene_stress,0,27,0,0,28,95,756,87.4339,0.0114,0.0009,0.0224
317,spatial_grid,scene_stress,0,27,0,0,28,95,756,87.4339,0.0111,0.0009,0.0223
318,spatial_grid,scene_stress,0,27,0,0,28,93,756,87.6984,0.0096,0.0008,0.0223
319,spatial_grid,scene_stress,0,27,0,0,28,95,756,87.4339,0.0097,0.0008,0.0219
320,spatial_grid,scene_stress,0,27,0,0,28,95,756,87.4339,0.0144,0.0017,0.0375
321,spatial_grid,scene_stress,0,27,0,0,28,97,756,87.1693,0.0096,0.0009,0.0216
322,spatial_grid,scene_stress,0,27,0,0,28,97,756,87.1693,0.0282,0.0008,0.0216
323,spatial_grid,scene_stress,0,27,0,0,28,97,756,87.1693,0.0152,0.0008,0.0218
324,spatial_grid,scene_stress,0,27,0,0,28,97,756,87.1693,0.0114,0.0009,0.023
325,spatial_grid,scene_stress,0,27,0,0,28,99,756,86.9048,0.013,0.0034,0.0218
326,spatial_grid,scene_stress,0,27,0,0,28,100,756,86.7725,0.0122,0.0016,0.0226
327,spatial_grid,scene_stress,0,27,0,0,28,97,756,87.1693,0.0242,0.0008,0.0228
328,spatial_grid,scene_stress,0,27,0,0,28,97,756,87.1693,0.0152,0.0009,0.0234
329,spatial_grid,scene_stress,0,27,0,0,28,97,756,87.1693,0.0124,0.0008,0.0227
330,spatial_grid,scene_stress,0,27,0,0,28,103,756,86.3757,0.0129,0.001,0.0252
331,spatial_grid,scene_stress,0,27,0,0,28,99,756,86.9048,0.0142,0.0011,0.0713
332,spatial_grid,scene_stress,0,27,0,0,28,99,756,86.9048,0.0111,0.013,0.0224
333,spatial_grid,scene_stress,0,27,0,0,28,101,756,86.6402,0.0134,0.0009,0.0227
334,spatial_grid,scene_stress,0,27,0,0,28,101,756,86.6402,0.0132,0.0116,0.0231
335,spatial_grid,scene_stress,0,27,0,0,28,104,756,86.2434,0.0122,0.0009,0.0258
336,spatial_grid,scene_stress,0,27,0,0,28,103,756,86.3757,0.0135,0.0008,0.0223
337,spatial_grid,scene_stress,0,27,0,0,28,105,756,86.1111,0.0131,0.001,0.0234
338,spatial_grid,scene_stress,0,27,0,0,28,109,756,85.582,0.0146,0.001,0.0244
339,spatial_grid,scene_stress,0,27,0,0,28,111,756,85.3175,0.0148,0.0009,0.0253
340,spatial_grid,scene_stress,0,27,0,0,28,111,756,85.3175,0.0132,0.001,0.0363
341,spatial_grid,scene_stress,0,27,1,0,29,111,783,85.8238,0.0131,0.0015,0.0344
342,spatial_grid,scene_stress,0,27,1,0,29,112,783,85.696,0.0149,0.0017,0.0248
343,spatial_grid,scene_stress,0,27,1,0,29,110,783,85.9515,0.0141,0.0012,0.025
344,spatial_grid,scene_stress,0,27,1,0,29,106,783,86.4623,0.0142,0.0012,0.0255
345,spatial_grid,scene_stress,0,27,1,0,29,105,783,86.59,0.0149,0.0014,0.0255
346,spatial_grid,scene_stress,0,27,1,0,29,107,783,86.3346,0.0202,0.0072,0.0246
347,spatial_grid,scene_stress,0,27,1,0,29,105,783,86.59,0.013,0.0011,0.0234
348,spatial_grid,scene_stress,0,27,1,0,29,107,783,86.3346,0.014,0.0017,0.0453
349,spatial_grid,scene_stress,0,27,1,0,29,105,783,86.59,0.0124,0.0059,0.0442
350,spatial_grid,scene_stress,0,27,1,0,29,106,783,86.4623,0.0129,0.0017,0.0243
351,spatial_grid,scene_stress,0,27,1,0,29,105,783,86.59,0.0129,0.0016,0.0249
352,spatial_grid,scene_stress,0,27,1,0,29,105,783,86.59,0.0148,0.0016,0.0248
353,spatial_grid,scene_stress,0,27,1,0,29,105,783,86.59,0.0126,0.0018,0.0246
